Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,Peak Match,Peak Age,Peak Elo
Roman Andres Burruchaga,21.2,1354.8,1229.4,1387.4,-,1292.1,1371.1,1377.4,2022 Sao Leopoldo CH R16,20.8,1516.3
Nick Chappell,30.5,1354.2,1353.9,1078.2,1355.2,1354.1,1216.2,1354.7,2021 Potchefstroom 1 CH QF,28.3,1444.2
Lucas Miedler,26.3,1354.2,1337.2,1297,1275.8,1345.7,1325.6,1315,2019 Roland Garros Qual,22.9,1499.7
Pol Martin Tiffon,23.7,1354.1,1179.6,1335.1,-,1266.9,1344.6,1377.1,2021 Quito CH QF,22.1,1486.3
Nick Hardt,22.5,1353.7,1316.1,1222.7,-,1334.9,1288.2,1376.9,2022 Saint Tropez CH R32,22,1460.5
Henri Squire,22.5,1350.8,1228.7,1352.2,1358,1289.7,1351.5,1354.4,2022 Troisdorf CH QF,21.6,1464.3
Ugo Blanchet,24.1,1350.1,1263.1,1272.6,-,1306.6,1311.3,1375,2022 Toulouse CH R32,23.6,1391
Bu Yunchaokete,21.2,1348.4,1290,1175.8,-,1319.2,1262.1,1374.2,2023 Cuernavaca CH R32,21.2,1365.4
Ulises Blanch,25,1348.3,1301,1242.3,1380.3,1324.7,1295.3,1364.3,2020 Roland Garros Qual,22.5,1590.9
Gabriel Debru,17.3,1348.3,1328.6,1144.1,-,1338.4,1246.2,1374.2,2023 Cherbourg CH R16,17.1,1484.6
Daniel Cox,32.4,1345.4,1291.4,1277.2,1290.2,1318.4,1311.3,1317.8,2014 Binghamton CH QF,23.7,1482.1
Max Hans Rehberg,19.5,1345.3,1183.8,1161.5,-,1264.5,1253.4,1372.6,2022 Hamburg CH R32,19,1414.1
Hady Habib,24.4,1345.2,1356.2,1208.9,1500,1350.7,1277.1,1422.6,2018 Davis Cup G2 R3,20,1578.2
Clement Tabur,22.9,1344.7,1122.8,1406,-,1233.8,1375.4,1372.4,2022 Meerbusch CH QF,22.5,1465.3
Marek Gengel,27.5,1344.2,1301.1,1172.3,-,1322.7,1258.3,1372.1,2023 Nonthaburi 2 CH R16,27.3,1490.7
Roberto Quiroz,30.6,1344,1336.7,1268.1,1395.3,1340.4,1306.1,1369.7,2017 Leon CH SF,25,1536.7
Nicolas Alvarez,26.4,1343.5,1175,1332.3,-,1259.2,1337.9,1371.7,2022 Salinas CH R32,25.8,1427.5
Gonzalo Bueno,19,1341.8,-,1338.5,-,1280.9,1340.1,1370.9,2023 Santiago CH R32,18.9,1435.2
Ergi Kirkin,24.2,1341.7,1333.8,1252.2,1372.7,1337.8,1297,1357.2,2022 Shymkent 1 CH QF,23.2,1491.4
Aidan Mchugh,22.3,1339.7,1277.8,-,1299.7,1308.7,1279.8,1319.7,2022 Porto CH R16,21.9,1497.3
Goncalo Oliveira,27.8,1339.6,1248.8,1292.8,1322.2,1294.2,1316.2,1330.9,2017 Campinas CH QF,22.6,1433.9
Remy Bertola,24.3,1339,1173.8,1309.7,-,1256.4,1324.4,1369.5,2022 Coquimbo CH R32,24.1,1455.1
Alexey Vatutin,30.4,1331.4,1293.3,1260.1,1328.2,1312.3,1295.7,1329.8,2018 Marrakech R16,25.4,1623.4
Evan Zhu,24.6,1331.1,1280.2,1240.7,1327.7,1305.7,1285.9,1329.4,2022 Winnipeg CH QF,23.9,1360.5
Li Tu,26.8,1328.9,1277.1,1418.7,1500,1303,1373.8,1414.5,2022 Seoul CH F,26.3,1623.1
Denis Yevseyev,29.9,1328.8,1250.9,1229.4,-,1289.8,1279.1,1364.4,2022 Forli 1 CH R32,28.6,1416.2
Daniel Dutra Da Silva,34.7,1328.5,1118.8,1298.2,-,1223.7,1313.4,1364.3,2008 Seville CH R32,20.1,1482.6
Yunseong Chung,24.9,1322.4,1294.6,1275,1329.7,1308.5,1298.7,1326.1,2019 Gwangju CH R32,21.1,1564.8
Johan Nikles,25.5,1322.3,1223.7,1296.2,-,1273,1309.3,1361.1,2022 Bratislava CH R32,25.2,1529.8
Carlos Sanchez Jover,22.6,1321,1179.4,1321.2,-,1250.2,1321.1,1360.5,2022 Zadar CH QF,21.6,1428
Murkel Alejandro Dellien Velasco,25.5,1320.9,1308.4,1343.8,1500,1314.6,1332.3,1410.4,2022 Tigre CH QF,24.2,1601.3
Malek Jaziri,39.1,1320.6,1313.5,1338.1,1344.6,1317,1329.3,1332.6,2017 Miami R64,33.1,1794.3
Arklon Huertas Del Pino,28.7,1319.5,-,1297.2,-,1269.7,1308.3,1359.7,2023 Davis Cup WG1 PO,28.5,1360.2
Rio Noguchi,24.3,1317.8,1354.8,1101,-,1336.3,1209.4,1358.9,2022 Playford CH SF,23.8,1501.5
Hiroki Moriya,32.3,1315.6,1249.7,1153.4,1348.7,1282.6,1234.5,1332.2,2012 Brisbane Qual,22.2,1569.8
Alibek Kachmazov,20.5,1315.3,1262,1391.3,1500,1288.6,1353.3,1407.6,2019 Moscow R32,17.1,1397.8
Nikolas Sanchez Izquierdo,24,1311.8,1155.4,1304.9,-,1233.6,1308.3,1355.9,2022 Troyes CH R16,23.2,1503.4
Matteo Martineau,24.2,1310.9,1343.3,1175.6,1361.2,1327.1,1243.3,1336.1,2021 Cherbourg CH R32,22,1379.6
Pedja Krstin,27.9,1309.4,1247.2,1278.3,1250.7,1278.3,1293.9,1280.1,2016 Leon CH R32,21.5,1552.5
Benjamin Lock,30,1307.3,1261.4,1201.3,1500,1284.4,1254.3,1403.6,2015 Davis Cup G2 PO,22.3,1541.9
Giovanni Oradini,25.5,1304.9,1283.1,1245.3,-,1294,1275.1,1352.4,2022 Fairfield CH R32,25,1392
Gabriel Decamps,23.5,1302.9,1216.7,1191.4,-,1259.8,1247.1,1351.4,2022 Nonthaburi 2 CH QF,23,1486
Jose Rubin Statham,35.9,1301.8,1240.5,1306.7,1380.1,1271.1,1304.2,1340.9,2007 Auckland Qual,19.7,1565
Joao Domingues,29.5,1301.7,1184.7,1271.2,1240.3,1243.2,1286.4,1271,2019 Braga CH F,25.5,1647
Strong Kirchheimer,27.9,1301.5,1290.1,1120,-,1295.8,1210.7,1350.7,2020 Columbus CH R32,24.8,1331.4
Mats Rosenkranz,24.4,1300.9,1273.2,1174.3,1421.3,1287,1237.6,1361.1,2022 Mallorca Qual,23.8,1412.9
